,高雄時間,同意票,不同意票,同意比例,有效票,無效票,投票人數,已開投票所投票人總數,投票率,應送行政區,已送行政區,應送開票所,已送開票所,行政區
0,2020-06-06 16:43:50,82692,2486,3.6,85178,520,85698,225014,38.09,38,0,1823,251,高雄市
1,2020-06-06 16:44:50,82692,2486,3.6,85178,520,85698,225014,38.09,38,0,1823,251,高雄市
2,2020-06-06 16:45:51,108484,3255,4.72,111739,676,112415,289386,38.85,38,0,1823,316,高雄市
3,2020-06-06 16:46:51,108484,3255,4.72,111739,676,112415,289386,38.85,38,0,1823,316,高雄市
4,2020-06-06 16:47:51,108484,3255,4.72,111739,676,112415,289386,38.85,38,0,1823,316,高雄市
5,2020-06-06 16:48:51,147193,4345,6.4,151538,904,152442,387528,39.34,38,0,1823,405,高雄市
6,2020-06-06 16:49:52,147193,4345,6.4,151538,904,152442,387528,39.34,38,0,1823,405,高雄市
7,2020-06-06 16:50:52,147193,4345,6.4,151538,904,152442,387528,39.34,38,0,1823,405,高雄市
8,2020-06-06 16:51:52,197253,5742,8.58,202995,1181,204176,513250,39.78,38,0,1823,513,高雄市
9,2020-06-06 16:52:52,197253,5742,8.58,202995,1181,204176,513250,39.78,38,0,1823,513,高雄市
10,2020-06-06 16:53:53,197253,5742,8.58,202995,1181,204176,513250,39.78,38,0,1823,513,高雄市
11,2020-06-06 16:54:53,253511,7337,11.02,260848,1493,262341,653814,40.12,38,0,1823,631,高雄市
12,2020-06-06 16:56:09,5198,116,24.64,5314,37,5351,12182,43.93,1,0,24,15,鹽埕區
13,2020-06-06 16:56:09,5750,138,5.07,5888,34,5922,16011,36.99,1,0,77,15,鼓山區
14,2020-06-06 16:56:09,7689,205,32.44,7894,39,7933,19303,41.1,1,0,22,19,前金區
15,2020-06-06 16:56:09,13359,356,30.78,13715,65,13780,33382,41.28,1,0,42,34,新興區
16,2020-06-06 16:56:09,18363,487,12.12,18850,86,18936,45671,41.46,1,0,99,33,楠梓區
17,2020-06-06 16:56:09,17736,481,11.28,18217,109,18326,44252,41.41,1,0,119,39,前鎮區
